City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yulara,AU,-25.2406,130.9889,78.64,44,40,5.75,scattered clouds
80,Nhulunbuy,AU,-12.2333,136.7667,86.61,66,25,9.22,scattered clouds
81,Geraldton,AU,-28.7667,114.6,79.21,69,0,4.61,clear sky
82,Bluff,NZ,-46.6,168.3333,69.8,70,96,7.74,overcast clouds
83,Fruitville,US,27.3298,-82.4576,66.18,33,0,8.05,clear sky
84,Saint-Augustin,CA,51.226,-58.6502,2.43,83,100,10.47,overcast clouds
85,Jining,CN,35.405,116.5814,29.82,83,100,5.73,overcast clouds
86,Nemuro,JP,43.3236,145.575,22.24,75,84,12.44,broken clouds
87,Dingle,PH,10.9995,122.6711,74.97,90,74,6.42,broken clouds
88,Upernavik,GL,72.7868,-56.1549,-12.1,84,100,16.89,overcast clouds
89,San Quintin,MX,30.4833,-115.95,68.58,48,0,11.63,clear sky
90,Port Keats,AU,-14.25,129.55,80.28,82,1,6.02,clear sky
91,Cape Town,ZA,-33.9258,18.4232,77.11,71,0,2.3,clear sky
92,Arlit,NE,18.7369,7.3853,72.81,9,0,8.3,clear sky
93,Butaritari,KI,3.0707,172.7902,82.18,74,84,15.48,broken clouds
94,Codrington,AU,-38.2667,141.9667,64.92,60,57,13.73,broken clouds
95,Dikson,RU,73.5069,80.5464,-6.14,93,100,17.27,overcast clouds
96,Airai,TL,-8.9266,125.4092,61.9,80,9,2.91,clear sky
97,Dhanera,IN,24.5167,72.0167,60.44,39,0,5.57,clear sky
98,Daru,PG,-9.0763,143.2092,83.52,67,95,6.46,overcast clouds
99,Makakilo City,US,21.3469,-158.0858,79.12,57,75,12.66,light rain
100,Souillac,MU,-20.5167,57.5167,80.98,89,75,13.8,light rain
101,Niquelandia,BR,-14.4739,-48.4597,72.34,88,23,0.74,few clouds
102,Dunedin,NZ,-45.8742,170.5036,66.79,60,97,7,overcast clouds
103,Klaksvik,FO,62.2266,-6.589,34.72,64,99,25.14,overcast clouds
104,Port Elizabeth,ZA,-33.918,25.5701,66.49,82,100,14.97,overcast clouds
105,Kirakira,SB,-10.4544,161.9205,82.78,77,97,9.17,overcast clouds
106,Langham,CA,52.3668,-106.9679,13.01,89,100,10.65,overcast clouds
107,Chokurdakh,RU,70.6333,147.9167,-25.04,99,44,6.78,scattered clouds
108,Puerto Ayora,EC,-0.7393,-90.3518,82.36,90,75,4,broken clouds
109,Ringkobing,DK,56.0901,8.244,45.32,85,95,30.13,overcast clouds
110,Mount Gambier,AU,-37.8333,140.7667,60.71,72,75,13.8,broken clouds
111,Torbay,CA,47.6666,-52.7314,25.75,94,100,26.46,snow
112,Oksbol,DK,55.6268,8.2876,45.21,88,93,27.51,overcast clouds
113,Algiers,DZ,36.7525,3.042,55.22,82,75,8.05,broken clouds
114,Naze,JP,28.3667,129.4833,54.52,64,7,9.35,clear sky
115,Hambantota,LK,6.1241,81.1185,74.88,74,90,12.73,overcast clouds
116,Kodiak,US,57.79,-152.4072,38.71,81,100,13.8,light rain
117,Bethel,US,41.3712,-73.414,21.99,47,65,13,broken clouds
118,Pokhara,NP,28.2333,83.9833,52.57,61,37,2.86,scattered clouds
119,Grao Mogol,BR,-16.5594,-42.8897,67.89,92,83,1.59,broken clouds
120,Namibe,AO,-15.1961,12.1522,76.78,82,85,4.85,overcast clouds
121,Svetlaya,RU,46.5389,138.3297,18.1,91,100,8.46,overcast clouds
122,Nicoya,CR,10.1483,-85.452,83.75,53,35,15.75,scattered clouds
123,Provideniya,RU,64.3833,-173.3,-1.64,65,0,20.13,clear sky
124,Jambi,ID,-1.6,103.6167,72.84,97,85,2.04,overcast clouds
125,Hami,CN,42.8,93.45,26.85,42,70,4.65,broken clouds
126,Meulaboh,ID,4.1363,96.1285,75.24,87,98,4.52,overcast clouds
127,Gushikawa,JP,26.3544,127.8686,60.03,80,75,4.61,broken clouds
128,Nome,US,64.5011,-165.4064,1.47,55,0,12.66,clear sky
129,Craig,US,40.5153,-107.5464,43.79,36,0,5.75,clear sky
130,Almaznyy,RU,48.0448,40.045,23.14,73,0,3.56,clear sky
131,Tuatapere,NZ,-46.1333,167.6833,68.83,48,100,1.57,overcast clouds
132,Nokaneng,BW,-19.6667,22.2667,74.61,55,20,4.9,few clouds
133,Port Blair,IN,11.6667,92.75,73.44,94,20,2.3,mist
134,Marsa Matruh,EG,31.3525,27.2453,55.6,82,40,3.44,scattered clouds
135,Soe,ID,-9.8607,124.284,69.48,88,38,4.18,scattered clouds
136,Tombouctou,ML,20,-3,61.74,22,89,10.49,overcast clouds
137,Tadine,NC,-21.55,167.8833,83.3,75,52,12.8,broken clouds
138,Mahebourg,MU,-20.4081,57.7,80.89,89,75,13.8,broken clouds
139,Nanortalik,GL,60.1432,-45.2371,13.8,65,59,43.04,broken clouds
140,Mar Del Plata,AR,-38.0023,-57.5575,71.62,84,0,11.5,clear sky
141,Carutapera,BR,-1.195,-46.02,75.67,91,100,6.67,moderate rain
142,Hasaki,JP,35.7333,140.8333,34.29,53,47,8.57,scattered clouds
143,Chicama,PE,-7.8447,-79.1469,70.34,63,54,9.33,broken clouds
144,Narsaq,GL,60.9167,-46.05,12.42,72,32,11.72,scattered clouds
145,Andijon,UZ,40.7821,72.3442,40.35,86,100,1.39,overcast clouds
146,San Antonio,US,29.4241,-98.4936,72.61,16,0,9.22,smoke
147,Gorontalo,ID,0.5412,123.0595,76.01,87,84,2.77,broken clouds
148,Numazu,JP,35.1,138.8667,40.01,78,57,0.51,broken clouds
149,Witbank,ZA,-25.8713,29.2332,57.81,84,12,14.09,few clouds
150,Salinopolis,BR,-0.6136,-47.3561,78.04,88,95,11.34,overcast clouds
151,Ojinaga,MX,29.5667,-104.4167,75.58,17,0,0,clear sky
152,Chase,CA,50.8165,-119.6857,42.13,98,100,3.38,overcast clouds
153,Rocha,UY,-34.4833,-54.3333,64.71,69,0,3.29,clear sky
154,Coihaique,CL,-45.5752,-72.0662,63.21,59,75,5.75,broken clouds
155,Chipinge,ZW,-20.1883,32.6236,63.77,93,42,8.01,light rain
156,Kahului,US,20.8947,-156.47,80.62,59,20,20.71,few clouds
157,Bengkulu,ID,-3.8004,102.2655,75.02,84,82,3.76,broken clouds
158,Uige,AO,-7.6087,15.0613,65.21,98,86,0.34,light rain
159,Bom Jesus,BR,-9.0744,-44.3586,74.53,89,59,3.38,moderate rain
160,Ketchikan,US,55.3422,-131.6461,45.07,70,0,12.66,clear sky
161,Beloha,MG,-25.1667,45.05,74.41,91,0,5.01,clear sky
162,Turukhansk,RU,65.8167,87.9833,-11.87,84,3,10.29,clear sky
163,Acapulco,MX,16.8634,-99.8901,85.82,66,0,5.75,clear sky
164,Mao,ES,39.8885,4.2658,50.56,87,0,3.44,clear sky
165,Zdunska Wola,PL,51.5992,18.9397,38.25,78,3,4,clear sky
166,Shaping,CN,22.7545,112.9565,58.95,70,59,4.45,broken clouds
167,Tommot,RU,58.9564,126.2925,-24.95,100,95,2.06,overcast clouds
168,Sibolga,ID,1.7427,98.7792,75.54,89,69,3.33,broken clouds
169,Praia,CV,14.9215,-23.5087,72.14,78,75,18.41,broken clouds
170,Sabha,LY,27.0377,14.4283,55.51,28,0,12.57,clear sky
171,Linares,CL,-35.85,-71.6,81.34,30,0,10.22,clear sky
172,Hithadhoo,MV,-0.6,73.0833,81.75,72,98,12.88,overcast clouds
173,Ormara,PK,25.2088,64.6357,70,47,0,11.72,clear sky
174,Yarmouth,US,41.7057,-70.2286,21.96,58,0,12.66,clear sky
175,Abu Kamal,SY,34.4506,40.9171,52.65,63,0,8.59,clear sky
176,Kaitangata,NZ,-46.2817,169.8464,66.92,62,98,3.27,overcast clouds
177,Alizai,PK,33.5383,70.3462,48.76,47,9,3.02,clear sky
178,Castro,BR,-24.7911,-50.0119,71.17,74,72,0.65,light rain
179,Tazovskiy,RU,67.4667,78.7,-15.36,99,80,10.47,broken clouds
180,Kununurra,AU,-15.7667,128.7333,76.98,83,81,3.44,broken clouds
181,Coahuayana,MX,18.7333,-103.6833,94.48,49,75,6.06,broken clouds
182,Ribeira Grande,PT,38.5167,-28.7,61.12,84,85,12.68,overcast clouds
183,Longyearbyen,SJ,78.2186,15.6401,15.64,67,75,0,broken clouds
184,Vanimo,PG,-2.6741,141.3028,77.77,89,100,3.87,moderate rain
185,Singkawang,ID,0.9,109,75.88,95,100,3.44,overcast clouds
186,Taoudenni,ML,22.6783,-3.9836,63.54,21,99,9.51,overcast clouds
187,Zambezi,ZM,-13.5432,23.1047,65.23,98,100,3.24,light rain
188,Kutum,SD,14.2,24.6667,61.34,13,1,7.18,clear sky
